x,y
-6.989955836871089,0.0
-7.276627652790645,0.0
-9.080984705690781,0.0
-9.737332886129934,0.0
-9.908107740031058,0.0
-11.111243551638927,0.0
-11.99271737739556,0.0
-12.360013923296396,0.0
-11.494869302922297,0.0
-11.579231803589781,0.0
-10.941241984786359,0.0
-9.97460720451482,0.0
-8.256178216635629,0.0
-7.6166351362504185,0.0
-8.15359927516223,0.0
-9.196454604304716,0.0
-9.85489940857881,0.0
-10.365343988260804,0.0
-11.078794662803151,0.0
-11.749413679104327,0.0
-13.220673894724559,0.0
-15.77044713371868,0.0
-14.277878605372742,0.0
-12.770820144470557,0.0
-12.441013864651516,0.0
-12.196142783626273,0.0
-11.500085378294822,0.0
-9.744776031165916,0.0
-8.44536131944523,0.0
-7.557402790738721,0.0
-6.951784769162789,0.0
-7.0603775608673125,0.0
-6.94453372379296,0.0
-7.1540559168054365,0.0
-8.348332291965535,0.0
-10.414895061054334,0.0
-11.445540220133008,0.0
-11.232827053111299,0.0
-10.78555115162189,0.0
-10.619025496676192,0.0
-8.784080677908275,0.0
-9.062139255180693,0.0
-10.788829799446932,0.0
-10.63548796889611,0.0
-11.76595894424897,0.0
-10.876382395496401,0.0
-11.448240518083457,0.0
-11.93589641980734,0.0
-12.970089035634928,1.0
-12.931887141542955,1.0
-13.091975847034245,1.0
-12.35979925831893,1.0
-12.492712799073855,1.0
-11.408913580871047,1.0
-10.95720868130303,1.0
-10.564014184429636,1.0
-10.088845745780977,1.0
-7.842984976973967,1.0
-7.116683142063007,1.0
-6.005865749342111,1.0
-3.3928170555698753,1.0
-2.5784021698855124,1.0
-3.1709686022005443,1.0
-2.0899624606362504,1.0
-4.27749150867967,1.0
-4.052620653953807,1.0
-3.8600559734879734,1.0
-2.123935896117406,1.0
-1.4240877373849143,1.0
-3.0719535128903592,1.0
-2.8763280808249965,1.0
-1.7878064501152515,1.0
-3.460619839686233,1.0
-2.647011563148307,1.0
-3.2866705298342485,1.0
-4.957138218156061,1.0
-2.5481770263863415,1.0
-4.724441714112449,1.0
-6.511381461784035,1.0
-5.365278368842547,1.0
-6.389461967822103,1.0
-6.2901506419909206,1.0
-8.776275194314794,1.0
-4.990654731382133,1.0
-5.974952738062194,1.0
-10.019130383514849,1.0
-11.509752706048786,1.0
-12.347219699455255,1.0
-11.52935818093634,1.0
-10.573442340508842,1.0
