time_tick,acc_X_value,acc_Y_value,acc_Z_value
8.396871,-9.630571,-1.306084,-2.080187
8.430253,-10.835047,-1.819509,-1.689319
8.463524,-12.936034,-1.474731,-2.153362
8.496810,-13.576955,-1.364444,-2.420624
8.530187,-12.633157,-1.301145,-2.873294
8.563654,-13.052456,-0.363932,-3.694684
8.596834,-11.902301,-0.789965,-3.402731
8.630317,-11.703276,-0.609645,-2.653169
8.663577,-11.988645,-0.154132,-2.544379
8.696837,-12.390586,0.333853,-2.491106
8.730280,-11.305225,0.486789,-3.737931
8.763427,-9.864313,0.275343,-3.938004
8.796839,-8.624522,0.213391,-3.568236
8.830212,-8.264481,0.329963,-3.201611
8.863463,-7.394606,0.679229,-2.699259
8.896815,-7.391763,1.015477,-2.131514
8.930191,-8.089997,1.473534,-2.097994
8.963590,-8.005000,1.840309,-1.867694
8.996827,-7.568641,1.984714,-2.091260
9.030674,-8.100472,2.263649,-1.560626
9.063506,-9.337421,2.038885,-1.041814
9.096858,-11.166207,2.668433,-1.149557
9.130238,-12.388640,2.995852,-0.881996
9.163519,-10.568832,1.786288,-1.514686
9.196859,-10.060196,1.475629,-2.683397
9.230238,-11.405187,1.201034,-3.586941
9.263549,-11.302532,0.332058,-3.650839
9.296859,-10.280022,-0.470926,-3.286758
9.330235,-9.342060,-0.920005,-2.694770
9.363770,-7.777692,-1.155842,-2.348047
9.396864,-7.443839,-1.126811,-2.115203
9.430155,-7.541107,-1.423254,-1.665526
9.463479,-8.862304,-2.009405,-1.588759
9.496833,-9.623837,-2.426909,-1.779255
9.530195,-10.714136,-2.181944,-1.881610
9.563515,-12.489200,-1.652058,-1.879366
9.596840,-13.008461,-1.616593,-2.139894
9.630193,-13.709539,-0.890824,-2.464021
9.663595,-14.719778,-0.949634,-2.956346
9.696904,-13.287545,-2.120889,-2.166082
9.730244,-12.568511,-1.766834,-1.898221
9.763606,-12.641387,-0.035166,-2.730385
9.796800,-12.264586,0.767818,-3.391508
9.830215,-10.928574,0.924644,-3.695433
9.863631,-9.206483,0.864038,-3.380733
9.896937,-8.273609,0.842639,-2.572662
9.930197,-7.568042,0.870623,-2.405510
9.963496,-7.185854,1.043011,-1.661935
9.996977,-6.679912,1.217944,-1.134742
10.030191,-6.559599,1.359057,-1.374470
10.063602,-6.811597,1.425199,-1.434477
10.096858,-7.291951,1.570503,-1.205224
10.130182,-8.197740,1.874727,-1.046453
10.163525,-10.240067,1.920817,-0.972679
10.196826,-10.532320,1.927102,-1.490893
10.230193,-11.763432,2.084077,-1.950446
10.263584,-11.989243,1.333468,-1.603723
10.296862,-11.955574,0.773355,-1.936380
10.330197,-11.140618,0.494720,-3.063490
10.363512,-11.133286,-0.154581,-3.700520
